,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,WindSpeed,Date,Country
0,alofi,-19.06,-169.92,78,24.0,0,8.7,1540094400,NU
1,puerto ayora,-0.74,-90.35,100,21.18,12,6.46,1540095511,EC
2,chapais,49.78,-74.86,86,-3.0,90,6.2,1540094400,CA
3,ushuaia,-54.81,-68.31,80,4.0,90,6.7,1540090800,AR
4,popondetta,-8.77,148.24,77,26.5,36,0.66,1540095514,PG
5,vardo,39.62,-77.74,66,11.0,75,3.1,1540094100,US
6,hilo,19.71,-155.08,94,23.0,75,1.5,1540095060,US
7,namibe,-15.19,12.15,100,21.25,32,3.66,1540095515,AO
8,mataura,-46.19,168.86,72,21.65,8,2.66,1540095515,NZ
9,neuquen,-38.95,-68.06,93,12.0,40,1.0,1540090800,AR
10,rikitea,-23.12,-134.97,100,24.2,68,4.71,1540095515,PF
11,porto novo,-23.68,-45.44,87,14.0,75,1.5,1540094400,BR
12,upernavik,72.79,-56.15,100,-4.73,68,5.71,1540095516,GL
13,new norfolk,-42.78,147.06,45,17.0,20,5.1,1540094400,AU
14,hermanus,-34.42,19.24,52,13.43,20,4.86,1540095516,ZA
15,amahai,-3.31,129.0,100,27.38,44,2.21,1540095516,ID
16,khatanga,71.98,102.47,80,-15.5,56,3.56,1540095516,RU
17,qaanaaq,77.48,-69.36,100,-16.33,20,6.36,1540095516,GL
18,la concordia,13.2,-86.17,87,20.7,12,1.46,1540095516,NI
19,banda aceh,5.56,95.32,81,27.88,32,1.41,1540095517,ID
20,iralaya,15.0,-83.23,89,26.85,92,3.11,1540095517,HN
21,genhe,50.78,121.52,74,8.2,68,3.31,1540095517,CN
22,broome,52.47,1.45,93,9.0,0,2.1,1540094160,GB
23,ponta do sol,-20.63,-46.0,68,16.6,8,4.56,1540095517,BR
24,raudeberg,61.99,5.14,100,11.0,100,9.3,1540093800,NO
25,caravelas,-17.73,-39.27,100,24.18,56,11.06,1540095518,BR
26,bathsheba,13.22,-59.52,78,27.0,75,8.7,1540090800,BB
27,hithadhoo,-0.6,73.08,100,26.95,44,2.96,1540095518,MV
28,san gil,6.56,-73.13,100,20.0,40,1.5,1540090800,CO
29,butaritari,3.07,172.79,100,29.1,20,1.66,1540095518,KI
30,flinders,-34.58,150.85,55,18.0,90,5.1,1540090800,AU
31,igrim,63.19,64.42,80,-3.08,88,5.16,1540095519,RU
32,bluff,-23.58,149.07,40,33.15,0,3.11,1540095519,AU
33,atuona,-9.8,-139.03,100,25.65,76,7.51,1540095519,PF
34,bandarbeyla,9.49,50.81,100,23.95,100,2.36,1540095519,SO
35,jagdalpur,19.09,82.02,57,27.18,0,1.46,1540095519,IN
36,kaele,10.11,14.45,62,20.1,0,1.71,1540095520,CM
37,albany,42.65,-73.75,75,8.0,90,2.6,1540094040,US
38,jamestown,-33.21,138.6,38,21.9,0,2.96,1540095520,AU
39,ixtapa,20.71,-105.21,100,28.0,90,0.76,1540089720,MX
40,nova odesa,47.3,31.79,93,10.0,92,4.0,1540090800,UA
41,sorong,-0.86,131.25,100,26.95,32,3.91,1540095521,ID
42,omsukchan,62.53,155.8,89,-8.58,68,1.61,1540095521,RU
43,carrboro,35.91,-79.08,58,14.0,20,4.1,1540094040,US
44,siteki,-26.45,31.95,88,10.5,0,3.01,1540095521,SZ
45,alberton,-26.25,28.13,71,13.0,40,3.1,1540090800,ZA
46,lucea,18.44,-78.17,74,27.0,20,2.1,1540090800,JM
47,barrow,-38.31,-60.23,60,14.1,56,4.56,1540095264,AR
48,vostok,46.45,135.83,54,10.4,0,1.31,1540095522,RU
49,cape town,-33.93,18.42,58,13.0,0,3.1,1540090800,ZA
50,aksarka,66.56,67.8,94,-2.65,80,4.81,1540095522,RU
51,lebu,8.96,38.73,81,11.0,20,2.1,1540090800,ET
